date,exposure
2012-08-09,0.9170778685716459
2012-08-10,0.9170778685716459
2012-08-13,0.9170778685716459
2012-08-14,0.9170778685716459
2012-08-15,0.9170778685716459
2012-08-16,0.9212239751430635
2012-08-17,0.9212239751430635
2012-08-20,0.9212239751430635
2012-08-21,0.9212239751430635
2012-08-22,0.9212239751430635
2012-08-23,0.9251627763859103
2012-08-24,0.9251627763859103
2012-08-27,0.9251627763859103
2012-08-28,0.9251627763859103
2012-08-29,0.9251627763859103
2012-08-30,0.9289046375666148
2012-08-31,0.9289046375666148
2012-09-03,0.9289046375666148
2012-09-04,0.9289046375666148
2012-09-05,0.9289046375666148
2012-09-06,0.9324594056882841
2012-09-07,0.9324594056882841
2012-09-10,0.9324594056882841
2012-09-11,0.9324594056882841
2012-09-12,0.9324594056882841
2012-09-13,0.9358364354038698
2012-09-14,0.9358364354038698
2012-09-17,0.9358364354038698
2012-09-18,0.9358364354038698
2012-09-19,0.9358364354038698
2012-09-20,0.9390446136336764
2012-09-21,0.9390446136336764
2012-09-24,0.9390446136336764
2012-09-25,0.9390446136336764
2012-09-26,0.9390446136336764
2012-09-27,0.9420923829519926
2012-09-28,0.9420923829519926
2012-10-01,0.9420923829519926
2012-10-02,0.9420923829519926
2012-10-03,0.9420923829519926
2012-10-04,0.944987763804393
2012-10-05,0.944987763804393
2012-10-08,0.944987763804393
2012-10-09,0.944987763804393
2012-10-11,0.944987763804393
2012-10-12,0.9477383756141733
2012-10-15,0.9477383756141733
2012-10-16,0.9477383756141733
2012-10-17,0.9477383756141733
2012-10-18,0.9477383756141733
2012-10-19,0.9399176435730621
2012-10-22,0.9399176435730621
2012-10-23,0.9399176435730621
2012-10-24,0.9399176435730621
2012-10-25,0.9399176435730621
2012-10-26,0.928933397123232
2012-10-29,0.928933397123232
2012-10-30,0.928933397123232
2012-10-31,0.928933397123232
2012-11-01,0.928933397123232
2012-11-02,0.9299905913327738
2012-11-05,0.9299905913327738
2012-11-06,0.9299905913327738
2012-11-07,0.9299905913327738
2012-11-08,0.9299905913327738
2012-11-09,0.9317311894025436
2012-11-12,0.9317311894025436
2012-11-13,0.9317311894025436
2012-11-14,0.9317311894025436
2012-11-15,0.9317311894025436
2012-11-16,0.9351446299324164
2012-11-19,0.9351446299324164
2012-11-20,0.9351446299324164
2012-11-21,0.9351446299324164
2012-11-22,0.9351446299324164
2012-11-23,0.9383873984357956
2012-11-26,0.9383873984357956
2012-11-27,0.9383873984357956
2012-11-28,0.9383873984357956
2012-11-29,0.9383873984357956
2012-11-30,0.9414680285140058
2012-12-03,0.9414680285140058
2012-12-04,0.9414680285140058
2012-12-05,0.9414680285140058
2012-12-06,0.9414680285140058
2012-12-07,0.9443946270883055
2012-12-10,0.9443946270883055
2012-12-11,0.9443946270883055
2012-12-12,0.9443946270883055
2012-12-13,0.9443946270883055
2012-12-14,0.9471748957338902
2012-12-17,0.9471748957338902
2012-12-18,0.9471748957338902
2012-12-19,0.9471748957338902
2012-12-20,0.9471748957338902
2012-12-21,0.9498161509471956
2012-12-22,0.9498161509471956
2012-12-24,0.9498161509471956
2012-12-25,0.9498161509471956
2012-12-26,0.9498161509471956
2012-12-27,0.9523253433998359
2012-12-28,0.9523253433998359
2013-01-02,0.9523253433998359
2013-01-03,0.9523253433998359
2013-01-04,0.9523253433998359
2013-01-07,0.954709076229844
2013-01-08,0.954709076229844
2013-01-09,0.954709076229844
2013-01-10,0.954709076229844
2013-01-11,0.954709076229844
2013-01-14,0.9569736224183518
2013-01-15,0.9569736224183518
2013-01-16,0.9569736224183518
2013-01-17,0.9569736224183518
2013-01-18,0.9569736224183518
2013-01-21,0.9591249412974343
2013-01-22,0.9591249412974343
2013-01-23,0.9591249412974343
2013-01-24,0.9591249412974343
2013-01-25,0.9591249412974343
2013-01-28,0.9611686942325626
2013-01-29,0.9611686942325626
2013-01-30,0.9611686942325626
2013-01-31,0.9611686942325626
2013-02-01,0.9611686942325626
2013-02-04,0.9631102595209345
2013-02-05,0.9631102595209345
2013-02-06,0.9631102595209345
2013-02-18,0.9631102595209345
2013-02-19,0.9631102595209345
2013-02-20,0.9649547465448878
2013-02-21,0.9649547465448878
2013-02-22,0.9649547465448878
2013-02-23,0.9649547465448878
2013-02-25,0.9649547465448878
2013-02-26,0.9667070092176434
2013-02-27,0.9667070092176434
2013-03-01,0.9667070092176434
2013-03-04,0.9667070092176434
2013-03-05,0.9667070092176434
2013-03-06,0.9683716587567612
2013-03-07,0.9683716587567612
2013-03-08,0.9683716587567612
2013-03-11,0.9683716587567612
2013-03-12,0.9683716587567612
2013-03-13,0.9699530758189232
2013-03-14,0.9699530758189232
2013-03-15,0.9699530758189232
2013-03-18,0.9699530758189232
2013-03-19,0.9699530758189232
2013-03-20,0.9710402962297919
2013-03-21,0.9710402962297919
2013-03-22,0.9710402962297919
2013-03-25,0.9710402962297919
2013-03-26,0.9710402962297919
2013-03-27,0.9724882814183025
2013-03-28,0.9724882814183025
2013-03-29,0.9724882814183025
2013-04-01,0.9724882814183025
2013-04-02,0.9724882814183025
2013-04-03,0.9738638673473873
2013-04-08,0.9738638673473873
2013-04-09,0.9738638673473873
2013-04-10,0.9738638673473873
2013-04-11,0.9738638673473873
2013-04-12,0.9551163088963402
2013-04-15,0.9551163088963402
2013-04-16,0.9551163088963402
2013-04-17,0.9551163088963402
2013-04-18,0.9551163088963402
2013-04-19,0.9573604934515233
2013-04-22,0.9573604934515233
2013-04-23,0.9573604934515233
2013-04-24,0.9573604934515233
2013-04-25,0.9573604934515233
2013-04-26,0.9594924687789471
2013-04-29,0.9594924687789471
2013-04-30,0.9594924687789471
2013-05-02,0.9594924687789471
2013-05-03,0.9594924687789471
2013-05-06,0.9615178453399997
2013-05-07,0.9615178453399997
2013-05-08,0.9615178453399997
2013-05-09,0.9615178453399997
2013-05-10,0.9615178453399997
2013-05-13,0.9634419530729998
2013-05-14,0.9634419530729998
2013-05-15,0.9634419530729998
2013-05-16,0.9634419530729998
2013-05-17,0.9634419530729998
2013-05-20,0.9652698554193498
2013-05-21,0.9652698554193498
2013-05-22,0.9652698554193498
2013-05-23,0.9652698554193498
2013-05-24,0.9652698554193498
2013-05-27,0.9670063626483822
2013-05-28,0.9670063626483822
2013-05-29,0.9670063626483822
2013-05-30,0.9670063626483822
2013-05-31,0.9670063626483822
2013-06-03,0.9686560445159632
2013-06-04,0.9686560445159632
2013-06-05,0.9686560445159632
2013-06-06,0.9686560445159632
2013-06-07,0.9686560445159632
2013-06-10,0.970223242290165
2013-06-11,0.970223242290165
2013-06-13,0.970223242290165
2013-06-14,0.970223242290165
2013-06-17,0.970223242290165
2013-06-18,0.9691693268049656
2013-06-19,0.9691693268049656
2013-06-20,0.9691693268049656
2013-06-21,0.9691693268049656
2013-06-24,0.9691693268049656
2013-06-25,0.9635643639889115
2013-06-26,0.9635643639889115
2013-06-27,0.9635643639889115
2013-06-28,0.9635643639889115
2013-07-01,0.9635643639889115
2013-07-02,0.9055538521253277
2013-07-03,0.9055538521253277
2013-07-04,0.9055538521253277
2013-07-05,0.9055538521253277
2013-07-08,0.9055538521253277
2013-07-09,0.90241910994679
2013-07-10,0.90241910994679
2013-07-11,0.90241910994679
2013-07-12,0.90241910994679
2013-07-15,0.90241910994679
2013-07-16,0.9072981544494505
2013-07-17,0.9072981544494505
2013-07-18,0.9072981544494505
2013-07-19,0.9072981544494505
2013-07-22,0.9072981544494505
2013-07-23,0.9119332467269781
2013-07-24,0.9119332467269781
2013-07-25,0.9119332467269781
2013-07-26,0.9119332467269781
2013-07-29,0.9119332467269781
2013-07-30,0.9163365843906291
2013-07-31,0.9163365843906291
2013-08-01,0.9163365843906291
2013-08-02,0.9163365843906291
2013-08-05,0.9163365843906291
2013-08-06,0.9205197551710976
2013-08-07,0.9205197551710976
2013-08-08,0.9205197551710976
2013-08-09,0.9205197551710976
2013-08-12,0.9205197551710976
2013-08-13,0.9244937674125427
2013-08-14,0.9244937674125427
2013-08-15,0.9244937674125427
2013-08-16,0.9244937674125427
2013-08-19,0.9244937674125427
2013-08-20,0.926389583230342
2013-08-22,0.926389583230342
2013-08-23,0.926389583230342
2013-08-26,0.926389583230342
2013-08-27,0.926389583230342
2013-08-28,0.9261663553371924
2013-08-29,0.9261663553371924
2013-08-30,0.9261663553371924
2013-09-02,0.9261663553371924
2013-09-03,0.9261663553371924
2013-09-04,0.9298580375703327
2013-09-05,0.9298580375703327
2013-09-06,0.9298580375703327
2013-09-09,0.9298580375703327
2013-09-10,0.9298580375703327
2013-09-11,0.9333651356918161
2013-09-12,0.9333651356918161
2013-09-13,0.9333651356918161
2013-09-14,0.9333651356918161
2013-09-16,0.9333651356918161
2013-09-17,0.9366968789072254
2013-09-18,0.9366968789072254
2013-09-23,0.9366968789072254
2013-09-24,0.9366968789072254
2013-09-25,0.9366968789072254
2013-09-26,0.939862034961864
2013-09-27,0.939862034961864
2013-09-30,0.939862034961864
2013-10-01,0.939862034961864
2013-10-02,0.939862034961864
2013-10-03,0.9428689332137709
2013-10-04,0.9428689332137709
2013-10-07,0.9428689332137709
2013-10-08,0.9428689332137709
2013-10-09,0.9428689332137709
2013-10-11,0.9457254865530824
2013-10-14,0.9457254865530824
2013-10-15,0.9457254865530824
2013-10-16,0.9457254865530824
2013-10-17,0.9457254865530824
2013-10-18,0.9484392122254283
2013-10-21,0.9484392122254283
2013-10-22,0.9484392122254283
2013-10-23,0.9484392122254283
2013-10-24,0.9484392122254283
2013-10-25,0.9510172516141568
2013-10-28,0.9510172516141568
2013-10-29,0.9510172516141568
2013-10-30,0.9510172516141568
2013-10-31,0.9510172516141568
2013-11-01,0.9534663890334489
2013-11-04,0.9534663890334489
2013-11-05,0.9534663890334489
2013-11-06,0.9534663890334489
2013-11-07,0.9534663890334489
2013-11-08,0.9278832109603491
2013-11-11,0.9278832109603491
2013-11-12,0.9278832109603491
2013-11-13,0.9278832109603491
2013-11-14,0.9278832109603491
2013-11-15,0.9246047756064796
2013-11-18,0.9246047756064796
2013-11-19,0.9246047756064796
2013-11-20,0.9246047756064796
2013-11-21,0.9246047756064796
2013-11-22,0.9223550492461305
2013-11-25,0.9223550492461305
2013-11-26,0.9223550492461305
2013-11-27,0.9223550492461305
2013-11-28,0.9223550492461305
2013-11-29,0.926237296783824
2013-12-02,0.926237296783824
2013-12-03,0.926237296783824
2013-12-04,0.926237296783824
2013-12-05,0.926237296783824
2013-12-06,0.9284965682445608
2013-12-09,0.9284965682445608
2013-12-10,0.9284965682445608
2013-12-11,0.9284965682445608
2013-12-12,0.9284965682445608
2013-12-13,0.9320717398323327
2013-12-16,0.9320717398323327
2013-12-17,0.9320717398323327
2013-12-18,0.9320717398323327
2013-12-19,0.9320717398323327
2013-12-20,0.935468152840716
2013-12-23,0.935468152840716
2013-12-24,0.935468152840716
2013-12-25,0.935468152840716
2013-12-26,0.935468152840716
2013-12-27,0.9386947451986802
2013-12-30,0.9386947451986802
2013-12-31,0.9386947451986802
2014-01-02,0.9386947451986802
2014-01-03,0.9386947451986802
2014-01-06,0.9417600079387463
2014-01-07,0.9417600079387463
2014-01-08,0.9417600079387463
2014-01-09,0.9417600079387463
2014-01-10,0.9417600079387463
2014-01-13,0.9446720075418089
2014-01-14,0.9446720075418089
2014-01-15,0.9446720075418089
2014-01-16,0.9446720075418089
2014-01-17,0.9446720075418089
2014-01-20,0.9474384071647185
2014-01-21,0.9474384071647185
2014-01-22,0.9474384071647185
2014-01-23,0.9474384071647185
2014-01-24,0.9474384071647185
2014-01-27,0.935786019730408
2014-02-05,0.935786019730408
2014-02-06,0.935786019730408
2014-02-07,0.935786019730408
2014-02-10,0.935786019730408
2014-02-11,0.9280712042239535
2014-02-12,0.9280712042239535
2014-02-13,0.9280712042239535
2014-02-14,0.9280712042239535
2014-02-17,0.9280712042239535
2014-02-18,0.9316676440127558
2014-02-19,0.9316676440127558
2014-02-20,0.9316676440127558
2014-02-21,0.9316676440127558
2014-02-24,0.9316676440127558
2014-02-25,0.935084261812118
2014-02-26,0.935084261812118
2014-02-27,0.935084261812118
2014-03-03,0.935084261812118
2014-03-04,0.935084261812118
2014-03-05,0.938330048721512
2014-03-06,0.938330048721512
2014-03-07,0.938330048721512
2014-03-10,0.938330048721512
2014-03-11,0.938330048721512
2014-03-12,0.9414135462854365
2014-03-13,0.9414135462854365
2014-03-14,0.9414135462854365
2014-03-17,0.9414135462854365
2014-03-18,0.9414135462854365
2014-03-19,0.9443428689711646
2014-03-20,0.9443428689711646
2014-03-21,0.9443428689711646
2014-03-24,0.9443428689711646
2014-03-25,0.9443428689711646
2014-03-26,0.9471257255226064
2014-03-27,0.9471257255226064
2014-03-28,0.9471257255226064
2014-03-31,0.9471257255226064
2014-04-01,0.9471257255226064
2014-04-02,0.949769439246476
2014-04-03,0.949769439246476
2014-04-07,0.949769439246476
2014-04-08,0.949769439246476
2014-04-09,0.949769439246476
2014-04-10,0.9522809672841522
2014-04-11,0.9522809672841522
2014-04-14,0.9522809672841522
2014-04-15,0.9522809672841522
2014-04-16,0.9522809672841522
2014-04-17,0.9546669189199447
2014-04-18,0.9546669189199447
2014-04-21,0.9546669189199447
2014-04-22,0.9546669189199447
2014-04-23,0.9546669189199447
2014-04-24,0.9569335729739474
2014-04-25,0.9569335729739474
2014-04-28,0.9569335729739474
2014-04-29,0.9569335729739474
2014-04-30,0.9569335729739474
2014-05-02,0.9590868943252502
2014-05-05,0.9590868943252502
2014-05-06,0.9590868943252502
2014-05-07,0.9590868943252502
2014-05-08,0.9590868943252502
2014-05-09,0.9611325496089876
2014-05-12,0.9611325496089876
2014-05-13,0.9611325496089876
2014-05-14,0.9611325496089876
2014-05-15,0.9611325496089876
2014-05-16,0.9630759221285383
2014-05-19,0.9630759221285383
2014-05-20,0.9630759221285383
2014-05-21,0.9630759221285383
2014-05-22,0.9630759221285383
2014-05-23,0.9649221260221114
2014-05-26,0.9649221260221114
2014-05-27,0.9649221260221114
2014-05-28,0.9649221260221114
2014-05-29,0.9649221260221114
2014-05-30,0.9666760197210058
2014-06-03,0.9666760197210058
2014-06-04,0.9666760197210058
2014-06-05,0.9666760197210058
2014-06-06,0.9666760197210058
2014-06-09,0.9683422187349555
2014-06-10,0.9683422187349555
2014-06-11,0.9683422187349555
2014-06-12,0.9683422187349555
2014-06-13,0.9683422187349555
2014-06-16,0.9699251077982077
2014-06-17,0.9699251077982077
2014-06-18,0.9699251077982077
2014-06-19,0.9699251077982077
2014-06-20,0.9699251077982077
2014-06-23,0.9714288524082973
2014-06-24,0.9714288524082973
2014-06-25,0.9714288524082973
2014-06-26,0.9714288524082973
2014-06-27,0.9714288524082973
2014-06-30,0.9728574097878824
2014-07-01,0.9728574097878824
2014-07-02,0.9728574097878824
2014-07-03,0.9728574097878824
2014-07-04,0.9728574097878824
2014-07-07,0.9742145392984882
2014-07-08,0.9742145392984882
2014-07-09,0.9742145392984882
2014-07-10,0.9742145392984882
2014-07-11,0.9742145392984882
2014-07-14,0.9755038123335639
2014-07-15,0.9755038123335639
2014-07-16,0.9755038123335639
2014-07-17,0.9755038123335639
2014-07-18,0.9755038123335639
2014-07-21,0.9767286217168857
2014-07-22,0.9767286217168857
2014-07-24,0.9767286217168857
2014-07-25,0.9767286217168857
2014-07-28,0.9767286217168857
2014-07-29,0.9778921906310414
2014-07-30,0.9778921906310414
2014-07-31,0.9778921906310414
2014-08-01,0.9778921906310414
2014-08-04,0.9778921906310414
2014-08-05,0.9694951996278226
2014-08-06,0.9694951996278226
2014-08-07,0.9694951996278226
2014-08-08,0.9694951996278226
2014-08-11,0.9694951996278226
2014-08-12,0.9710204396464315
2014-08-13,0.9710204396464315
2014-08-14,0.9710204396464315
2014-08-15,0.9710204396464315
2014-08-18,0.9710204396464315
2014-08-19,0.9721843163888622
2014-08-20,0.9721843163888622
2014-08-21,0.9721843163888622
2014-08-22,0.9721843163888622
2014-08-25,0.9721843163888622
2014-08-26,0.9735751005694191
2014-08-27,0.9735751005694191
2014-08-28,0.9735751005694191
2014-08-29,0.9735751005694191
2014-09-01,0.9735751005694191
2014-09-02,0.9711865973824589
2014-09-03,0.9711865973824589
2014-09-04,0.9711865973824589
2014-09-05,0.9711865973824589
2014-09-09,0.9711865973824589
2014-09-10,0.9715675515362611
2014-09-11,0.9715675515362611
2014-09-12,0.9715675515362611
2014-09-15,0.9715675515362611
2014-09-16,0.9715675515362611
2014-09-17,0.9534085455695165
2014-09-18,0.9534085455695165
2014-09-19,0.9534085455695165
2014-09-22,0.9534085455695165
2014-09-23,0.9534085455695165
2014-09-24,0.9353307228735439
2014-09-25,0.9353307228735439
2014-09-26,0.9353307228735439
2014-09-29,0.9353307228735439
2014-09-30,0.9353307228735439
2014-10-01,0.9314017236078144
2014-10-02,0.9314017236078144
2014-10-03,0.9314017236078144
2014-10-06,0.9314017236078144
2014-10-07,0.9314017236078144
2014-10-08,0.9348316374274236
2014-10-09,0.9348316374274236
2014-10-13,0.9348316374274236
2014-10-14,0.9348316374274236
2014-10-15,0.9348316374274236
2014-10-16,0.9380900555560524
2014-10-17,0.9380900555560524
2014-10-20,0.9380900555560524
2014-10-21,0.9380900555560524
2014-10-22,0.9380900555560524
2014-10-23,0.9359078195066685
2014-10-24,0.9359078195066685
2014-10-27,0.9359078195066685
2014-10-28,0.9359078195066685
2014-10-29,0.9359078195066685
2014-10-30,0.939112428531335
2014-10-31,0.939112428531335
2014-11-03,0.939112428531335
2014-11-04,0.939112428531335
2014-11-05,0.939112428531335
2014-11-06,0.9421568071047683
2014-11-07,0.9421568071047683
2014-11-10,0.9421568071047683
2014-11-11,0.9421568071047683
2014-11-12,0.9421568071047683
2014-11-13,0.9450489667495299
2014-11-14,0.9450489667495299
2014-11-17,0.9450489667495299
2014-11-18,0.9450489667495299
2014-11-19,0.9450489667495299
2014-11-20,0.9477965184120534
2014-11-21,0.9477965184120534
2014-11-24,0.9477965184120534
2014-11-25,0.9477965184120534
2014-11-26,0.9477965184120534
2014-11-27,0.9504066924914507
2014-11-28,0.9504066924914507
2014-12-01,0.9504066924914507
2014-12-02,0.9504066924914507
2014-12-03,0.9504066924914507
2014-12-04,0.9528863578668783
2014-12-05,0.9528863578668783
2014-12-08,0.9528863578668783
2014-12-09,0.9528863578668783
2014-12-10,0.9528863578668783
2014-12-11,0.954980756365757
2014-12-12,0.954980756365757
2014-12-15,0.954980756365757
2014-12-16,0.954980756365757
2014-12-17,0.954980756365757
2014-12-18,0.9539164046095802
2014-12-19,0.9539164046095802
2014-12-22,0.9539164046095802
2014-12-23,0.9539164046095802
2014-12-24,0.9539164046095802
2014-12-25,0.9562205843791011
2014-12-26,0.9562205843791011
2014-12-27,0.9562205843791011
2014-12-29,0.9562205843791011
2014-12-30,0.9562205843791011
2014-12-31,0.958409555160146
2015-01-05,0.958409555160146
2015-01-06,0.958409555160146
2015-01-07,0.958409555160146
2015-01-08,0.958409555160146
2015-01-09,0.9604890774021386
2015-01-12,0.9604890774021386
2015-01-13,0.9604890774021386
2015-01-14,0.9604890774021386
2015-01-15,0.9604890774021386
2015-01-16,0.9624646235320318
2015-01-19,0.9624646235320318
2015-01-20,0.9624646235320318
2015-01-21,0.9624646235320318
2015-01-22,0.9624646235320318
2015-01-23,0.9643413923554301
2015-01-26,0.9643413923554301
2015-01-27,0.9643413923554301
2015-01-28,0.9643413923554301
2015-01-29,0.9643413923554301
2015-01-30,0.9661243227376586
2015-02-02,0.9661243227376586
2015-02-03,0.9661243227376586
2015-02-04,0.9661243227376586
2015-02-05,0.9661243227376586
2015-02-06,0.9678181066007756
2015-02-09,0.9678181066007756
2015-02-10,0.9678181066007756
2015-02-11,0.9678181066007756
2015-02-12,0.9678181066007756
2015-02-13,0.9694272012707368
2015-02-24,0.9694272012707368
2015-02-25,0.9694272012707368
2015-02-26,0.9694272012707368
2015-03-02,0.9694272012707368
2015-03-03,0.9709558412072
2015-03-04,0.9709558412072
2015-03-05,0.9709558412072
2015-03-06,0.9709558412072
2015-03-09,0.9709558412072
2015-03-10,0.97240804914684
2015-03-11,0.97240804914684
2015-03-12,0.97240804914684
2015-03-13,0.97240804914684
2015-03-16,0.97240804914684
2015-03-17,0.973787646689498
2015-03-18,0.973787646689498
2015-03-19,0.973787646689498
2015-03-20,0.973787646689498
2015-03-23,0.973787646689498
2015-03-24,0.9750982643550231
2015-03-25,0.9750982643550231
2015-03-26,0.9750982643550231
2015-03-27,0.9750982643550231
2015-03-30,0.9750982643550231
2015-03-31,0.976343351137272
2015-04-01,0.976343351137272
2015-04-02,0.976343351137272
2015-04-07,0.976343351137272
2015-04-08,0.976343351137272
2015-04-09,0.9775261835804084
2015-04-10,0.9775261835804084
2015-04-13,0.9775261835804084
2015-04-14,0.9775261835804084
2015-04-15,0.9775261835804084
2015-04-16,0.978649874401388
2015-04-17,0.978649874401388
2015-04-20,0.978649874401388
2015-04-21,0.978649874401388
2015-04-22,0.978649874401388
2015-04-23,0.9797173806813186
2015-04-24,0.9797173806813186
2015-04-27,0.9797173806813186
2015-04-28,0.9797173806813186
2015-04-29,0.9797173806813186
2015-04-30,0.9807315116472527
2015-05-04,0.9807315116472527
2015-05-05,0.9807315116472527
2015-05-06,0.9807315116472527
2015-05-07,0.9807315116472527
2015-05-08,0.98169493606489
2015-05-11,0.98169493606489
2015-05-12,0.98169493606489
2015-05-13,0.98169493606489
2015-05-14,0.98169493606489
2015-05-15,0.9826101892616455
2015-05-18,0.9826101892616455
2015-05-19,0.9826101892616455
2015-05-20,0.9826101892616455
2015-05-21,0.9826101892616455
2015-05-22,0.9834796797985632
2015-05-25,0.9834796797985632
2015-05-26,0.9834796797985632
2015-05-27,0.9834796797985632
2015-05-28,0.9834796797985632
2015-05-29,0.984305695808635
2015-06-01,0.984305695808635
2015-06-02,0.984305695808635
2015-06-03,0.984305695808635
2015-06-04,0.984305695808635
2015-06-05,0.9380361948327052
2015-06-08,0.9380361948327052
2015-06-09,0.9380361948327052
2015-06-10,0.9380361948327052
2015-06-11,0.9380361948327052
2015-06-12,0.9407601621557886
2015-06-15,0.9407601621557886
2015-06-16,0.9407601621557886
2015-06-17,0.9407601621557886
2015-06-18,0.9407601621557886
2015-06-22,0.9437221540479992
2015-06-23,0.9437221540479992
2015-06-24,0.9437221540479992
2015-06-25,0.9437221540479992
2015-06-26,0.9437221540479992
2015-06-29,0.9465360463455993
2015-06-30,0.9465360463455993
2015-07-01,0.9465360463455993
2015-07-02,0.9465360463455993
2015-07-03,0.9465360463455993
2015-07-06,0.9492092440283193
2015-07-07,0.9492092440283193
2015-07-08,0.9492092440283193
2015-07-09,0.9492092440283193
2015-07-13,0.9492092440283193
2015-07-14,0.9517487818269034
2015-07-15,0.9517487818269034
2015-07-16,0.9517487818269034
2015-07-17,0.9517487818269034
2015-07-20,0.9517487818269034
2015-07-21,0.952749473972321
2015-07-22,0.952749473972321
2015-07-23,0.952749473972321
2015-07-24,0.952749473972321
2015-07-27,0.952749473972321
2015-07-28,0.9320360830858584
2015-07-29,0.9320360830858584
